TEAM;TOTAL;AVG;MEDIAN;STD;YEAR;ID
Orlando Magic;$ 67,390,203;$ 4,813,585;$ 3,558,360;$ 4,359,163;2003;ORL
Orlando Magic;$ 43,936,968;$ 3,138,354;$ 1,369,120;$ 3,935,710;2002;ORL
Orlando Magic;$ 47,691,151;$ 3,406,510;$ 2,269,000;$ 3,488,503;2001;ORL
Philadelphia 76ers;$ 72,431,609;$ 4,828,773;$ 2,974,320;$ 4,506,238;2010;PHI
Philadelphia 76ers;$ 69,926,347;$ 4,113,314;$ 2,105,400;$ 4,188,053;2009;PHI
Philadelphia 76ers;$ 72,861,445;$ 5,204,388;$ 3,944,000;$ 4,528,224;2008;PHI
Philadelphia 76ers;$ 57,777,929;$ 3,398,701;$ 2,804,889;$ 3,031,775;2007;PHI
Philadelphia 76ers;$ 44,407,250;$ 3,415,942;$ 2,800,000;$ 3,118,011;2006;PHI
Philadelphia 76ers;$ 119,493,262;$ 4,595,894;$ 2,058,000;$ 6,097,245;2005;PHI
Philadelphia 76ers;$ 64,225,539;$ 4,281,702;$ 1,914,480;$ 5,375,684;2004;PHI
Philadelphia 76ers;$ 64,225,539;$ 4,281,702;$ 1,914,480;$ 5,375,684;2003;PHI
Philadelphia 76ers;$ 56,571,572;$ 3,771,438;$ 1,557,684;$ 4,208,874;2002;PHI
Philadelphia 76ers;$ 57,769,276;$ 3,851,285;$ 1,452,000;$ 4,551,016;2001;PHI
Phoenix Suns;$ 65,263,589;$ 5,020,276;$ 4,250,000;$ 4,651,447;2010;PHO
Phoenix Suns;$ 79,428,800;$ 4,412,711;$ 1,755,900;$ 5,766,456;2009;PHO
Phoenix Suns;$ 75,449,279;$ 5,389,234;$ 1,661,860;$ 6,628,783;2008;PHO
Phoenix Suns;$ 71,227,313;$ 5,087,665;$ 2,898,103;$ 5,442,448;2007;PHO
Phoenix Suns;$ 82,440,784;$ 5,888,627;$ 3,125,000;$ 5,939,557;2006;PHO
Phoenix Suns;$ 119,390,840;$ 4,263,958;$ 2,035,000;$ 4,748,285;2005;PHO
Phoenix Suns;$ 36,369,533;$ 3,306,321;$ 2,032,200;$ 3,479,591;2004;PHO
Phoenix Suns;$ 36,369,533;$ 3,306,321;$ 2,032,200;$ 3,479,591;2003;PHO
Phoenix Suns;$ 55,225,080;$ 3,944,648;$ 1,748,340;$ 4,579,562;2002;PHO
Phoenix Suns;$ 50,846,916;$ 3,389,794;$ 2,275,000;$ 4,011,668;2001;PHO
Portland Trail Blazers;$ 68,806,480;$ 4,587,098;$ 1,645,440;$ 4,255,839;2010;POR
Portland Trail Blazers;$ 84,469,848;$ 3,839,538;$ 3,855,408;$ 3,512,009;2009;POR
Portland Trail Blazers;$ 56,154,803;$ 3,743,653;$ 3,163,769;$ 2,991,136;2008;POR
Portland Trail Blazers;$ 57,200,851;$ 3,813,390;$ 2,974,080;$ 3,064,937;2007;POR
Portland Trail Blazers;$ 64,751,726;$ 4,625,123;$ 2,940,000;$ 3,823,135;2006;POR
Portland Trail Blazers;$ 102,184,376;$ 3,649,442;$ 2,090,000;$ 3,608,684;2005;POR
Portland Trail Blazers;$ 78,687,727;$ 5,620,551;$ 3,729,140;$ 5,196,861;2004;POR
Portland Trail Blazers;$ 78,687,727;$ 5,620,551;$ 3,729,140;$ 5,196,861;2003;POR
Portland Trail Blazers;$ 91,000,860;$ 6,066,724;$ 4,991,800;$ 5,761,749;2002;POR
Portland Trail Blazers;$ 83,996,421;$ 5,599,761;$ 2,406,250;$ 6,004,966;2001;POR
Sacramento Kings;$ 44,043,590;$ 3,145,970;$ 1,716,240;$ 3,509,049;2010;SAC
Sacramento Kings;$ 61,120,985;$ 3,216,893;$ 1,262,275;$ 3,367,389;2009;SAC
Sacramento Kings;$ 71,075,103;$ 4,738,340;$ 5,104,000;$ 3,232,493;2008;SAC
Sacramento Kings;$ 50,531,216;$ 3,158,201;$ 1,571,020;$ 3,313,184;2007;SAC
Sacramento Kings;$ 61,065,219;$ 4,697,324;$ 4,400,000;$ 3,860,730;2006;SAC
Sacramento Kings;$ 121,055,700;$ 4,323,417;$ 4,000,000;$ 3,515,763;2005;SAC
Sacramento Kings;$ 57,886,869;$ 4,452,836;$ 4,500,000;$ 3,066,544;2004;SAC
Sacramento Kings;$ 57,886,869;$ 4,452,836;$ 4,500,000;$ 3,066,544;2003;SAC
Sacramento Kings;$ 70,416,596;$ 4,694,439;$ 4,048,000;$ 4,041,910;2002;SAC
Sacramento Kings;$ 54,763,038;$ 4,212,541;$ 3,680,000;$ 3,673,382;2001;SAC
San Antonio Spurs;$ 69,456,892;$ 5,342,837;$ 3,050,000;$ 5,991,662;2010;SAS
San Antonio Spurs;$ 77,276,044;$ 3,359,828;$ 855,189;$ 5,824,768;2009;SAS
San Antonio Spurs;$ 68,403,480;$ 3,800,193;$ 1,881,137;$ 5,285,343;2008;SAS
San Antonio Spurs;$ 72,459,350;$ 5,175,667;$ 3,565,000;$ 5,119,651;2007;SAS
San Antonio Spurs;$ 65,645,095;$ 4,376,339;$ 3,000,000;$ 4,396,761;2006;SAS
San Antonio Spurs;$ 159,269,716;$ 5,688,204;$ 4,032,500;$ 5,424,243;2005;SAS
San Antonio Spurs;$ 47,526,392;$ 3,168,426;$ 1,100,000;$ 3,750,553;2004;SAS
San Antonio Spurs;$ 47,526,392;$ 3,168,426;$ 1,100,000;$ 3,750,553;2003;SAS
San Antonio Spurs;$ 52,817,688;$ 4,062,899;$ 2,625,000;$ 4,110,189;2002;SAS
San Antonio Spurs;$ 42,867,150;$ 3,061,939;$ 1,000,000;$ 3,746,844;2001;SAS
Toronto Raptors;$ 66,363,636;$ 4,424,242;$ 2,858,057;$ 3,913,422;2010;TOR
Toronto Raptors;$ 75,601,958;$ 3,600,093;$ 2,304,240;$ 3,829,496;2009;TOR
